יצרן,תאריך כניסה לזאפ,התאמה לגיימינג,מערכת הפעלה,משקל,סדרה,סוג מעבד,נפח זיכרון RAM,מהירות מעבד,דגם מעבד,דור מעבד,סוג הזכרון,כונן קשיח,מהירות כונן קשיח,כונן אופטי,גודל מסך,רזולוציית מסך,סוג מסך,קצב רענון תצוגה,מסך מגע,כרטיס מסך,אמצעי אבטחה,מצלמת רשת,חיבורים,רשת אלחוטית,מודם סלולארי,Page Number,מחיר,תוספת מחיר
Asus,2021,0,ללא,1.8,לא רלוונטי,Intel Core i3,16.0,3000.0,1115G4,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LED,60.0,0,Intel Iris Xe Graphics,לא כולל,כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,1.0,0.0425010216591745,0
Lenovo,2022,0,Windows 11 Home,1.5,IdeaPad Flex 5,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,256,SSD,0,14.0,0.1254466804589054,IPS,60.0,1,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,0,1.0,0.09064160196158562,750
HP,2021,0,ללא,1.74,לא רלוונטי,Intel Core i3,8.0,3000.0,1115G4,11.0,4.0,256,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel UHD Graphics,לא כולל,1 מגה פיקסל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,0,1.0,0.037821822639967306,0
Lenovo,2022,0,ללא,1.7,ThinkBook 15 G2,Intel Core i5,16.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,IPS,60.0,0,Integrated Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"RJ-45 , USB-C , HDMI , Bluetooth , USB",802.11ax,0,1.0,0.07791172864732325,0
Asus,2022,0,ללא,1.4,VivoBook 14,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,לא כולל,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,1.0,0.06146301593788312,0
Asus,2021,0,Windows  10,0.81,לא רלוונטי,Intel Celeron,4.0,1100.0,N4020,4.0,4.0,64,eMMC,0,11.6,0.0,LCD,60.0,0,Intel UHD Graphics 600,לא כולל,כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,0,1.0,4.086636697997548e-05,0
Lenovo,2021,0,ללא,1.64,ThinkPad E14,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,256,SSD,0,14.0,0.1254466804589054,IPS,60.0,0,Integrated Intel UHD Graphics,קורא טביעות אצבע,1 מגה פיקסל,"RJ-45 , Thunderbolt , HDMI , Bluetooth , USB",802.11ax,0,1.0,0.07261953412341643,0
HP,2021,0,ללא,1.74,לא רלוונטי,Intel Core i5,8.0,2400.0,1135G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,LCD,60.0,0,Intel Iris Xe Graphics,לא כולל,1 מגה פיקסל,Bluetooth,"WiFi 6 , 802.11ax",0,1.0,0.07360032693093584,0
Lenovo,2021,0,ללא,1.64,ThinkPad E14,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,14.0,0.1254466804589054,IPS,60.0,0,Integrated Intel UHD Graphics,קורא טביעות אצבע,1 מגה פיקסל,"RJ-45 , Thunderbolt , HDMI , Bluetooth , USB",802.11ax,0,1.0,0.12061708214139763,0
Asus,2022,0,Windows 11 Home,1.8,VivoBook 15,Intel Core i7,16.0,2800.0,1165G7,11.0,4.0,512,SSD,0,15.6,0.1254466804589054,OLED,60.0,0,Intel Iris Xe Graphics,קורא טביעות אצבע,1 מגה פיקסל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",0,1.0,0.12357989374744585,0
