Brand,Zap Enter Date,Gaming Compability,Operating System,Two in One,Weight,Series,CPU type,RAM Capacity,CPU speed,CPU modal,CPU generation,Hard drive capacity,Hard drive Type,Optical Drive,Screen Size,Screen Resolution,Screen Type,FPS,Touch Screen,GPU,Web camera,Secutiry,Connectors,Wifi modal,Cellular modem,Min price,Max price,Page number,Memory type
Lenovo,2021,לא רלוונטי,ללא,ללא,"1.85 ק""ג",V14 ADA,AMD,4 GB,,3020e,,256 GB,SSD,לא כולל,15.6 אינטש,1366x768,LCD,60 Hz,ללא,Integrated AMD Radeon Graphics,,לא כולל,"Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ac,לא כולל,970,"1,970",1.0,DDR4
Lenovo,מ 2022,לא רלוונטי,ללא,ללא,"1.7 ק""ג",ThinkBook 15 G2,Intel Core i7,16 GB,2800Mhz,1165G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,,LCD,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , DisplayPort , Thunderbolt , Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"2,849","3,820",1.0,DDR4
Asus,2021,לא רלוונטי,ללא,ללא,"1.8 ק""ג",לא רלוונטי,Intel Core i3,16 GB,3000Mhz,1115G4,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LED,60 Hz,ללא,Intel Iris Xe Graphics,כולל,לא כולל,"אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ac,לא כולל,"1,599","2,263",1.0,DDR4
Lenovo,2020,לא רלוונטי,ללא,ללא,"1.6 ק""ג",לא רלוונטי,AMD,4 GB,1200Mhz,3020e,,256 GB,SSD,לא כולל,14 אינטש,1366x768,LCD,60 Hz,ללא,Integrated AMD Radeon Graphics,כולל,לא כולל,"Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ac,לא כולל,815,"1,710",1.0,DDR4
Lenovo,מ 2022,לא רלוונטי,Windows 11 Home,מסך מסתובב,"1.5 ק""ג",IdeaPad Flex 5,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,256 GB,SSD,לא כולל,14 אינטש,1920x1080,IPS,60 Hz,כולל,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,699","3,519",1.0,DDR4
Asus,2021,לא רלוונטי,Windows 10 PRO,ללא,"1.2 ק""ג",לא רלוונטי,Intel Celeron,4 GB,1100Mhz,N3350,דור 3,64 GB,eMMC,לא כולל,11.6 אינטש,1366x768,LCD,60 Hz,ללא,,כולל,,"Card Reader , אוזניות/מיקרופון , HDMI , Bluetooth , USB",802.11ac,לא כולל,865,"1,290",1.0,DDR3
Dell,מ 2022,לא רלוונטי,ללא,ללא,"1.69 ק""ג",Vostro 3510,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,,לא כולל,"RJ-45 , אוזניות/מיקרופון , HDMI , Bluetooth , USB",כולל,לא כולל,"1,898","2,319",1.0,DDR4
HP,2021,לא רלוונטי,ללא,ללא,"1.74 ק""ג",לא רלוונטי,Intel Core i3,8 GB,3000Mhz,1115G4,דור 11,256 GB,SSD,לא כולל,15.6 אינטש,1920x1080,LCD,60 Hz,ללא,Intel UHD Graphics,1 מגה פיקסל,לא כולל,"RJ-45 , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB",כולל,לא כולל,"1,634","1,999",1.0,DDR4
Lenovo,מ 2022,לא רלוונטי,ללא,ללא,"1.7 ק""ג",ThinkBook 15 G2,Intel Core i5,16 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,15.6 אינטש,1920x1080,IPS,60 Hz,ללא,Integrated Intel Iris Xe Graphics,1 מגה פיקסל,קורא טביעות אצבע,"RJ-45 , USB-C , HDMI , Bluetooth , USB",802.11ax,לא כולל,"2,505","3,090",1.0,DDR4
Asus,מ 2022,לא רלוונטי,ללא,ללא,"1.4 ק""ג",VivoBook 14,Intel Core i5,8 GB,2400Mhz,1135G7,דור 11,512 GB,SSD,לא כולל,14 אינטש,1920x1080,LCD,60 Hz,ללא,Intel Iris Xe Graphics,1 מגה פיקסל,לא כולל,"Card Reader , אוזניות/מיקרופון , USB-C , HDMI , Bluetooth , USB","WiFi 6 , 802.11ax",לא כולל,"2,199","2,591",1.0,DDR4
